Name;GamesPlayed;MinutesPlayed;PointsPerGame;FieldGoalsMade;Target
Antoine Walker;82;36.02.00;17.05;7;1
Shareef Abdur-Rahim;80;35;18.07;06.09;1
Stephon Marbury;67;34.07.00;15.08;05.03;1
Ray Allen;82;30.09.00;13.04;04.08;1
Marcus Camby;63;30.01.00;14.08;6;1
Matt Maloney;82;29.01.00;09.04;03.03;1
Lorenzen Wright;77;25.01.00;07.03;03.01;1
K.J. McDaniels;62;21.08;07.09;02.08;0
Dean Garrett;68;24.05.00;8;03.03;1
Chris Robinson;41;16.06;04.06;01.07;0
Shandon Anderson;65;16.04;05.09;02.03;1
Travis Knight;71;16.03;04.08;2;1
Kobe Bryant;71;15.05;07.06;02.05;1
Randy Livingston;64;15.03;03.09;01.06;1
Othella Harrington;57;15.01;04.08;2;1
Erick Dampier;72;14.06;05.01;01.08;1
Rodney Hood;50;21.03;08.07;03.01;0
Tony Delk;61;14.02;05.04;2;1
Samaki Walker;43;14;5;01.09;1
Todd Fuller;75;12.07;04.01;01.05;1
John Wallace;68;11.06;04.08;01.08;1
Derek Fisher;80;11.05;03.09;01.03;1
Ray Owes;57;10.04;03.01;01.03;0
Jermaine O'Neal;45;10.02;04.01;01.05;1
Malik Rose;54;09.07;3;01.01;1
Brett Szabo;70;09.05;02.02;00.08;0
Jerami Grant;65;21.02;06.03;01.09;0
Darvin Ham;36;08.08;02.03;00.09;1
Steve Hamer;35;07.07;02.02;00.09;0
Walter McCarty;35;05.05;01.08;00.07;1
Priest Lauderdale;35;05.01;03.02;01.04;0
Damon Stoudamire;70;40.09.00;19;06.09;1
Michael Finley;82;39.02.00;15;05.07;1
Jerry Stackhouse;72;37.05.00;19.02;06.03;1
Joe Smith;82;34.04.00;15.03;05.07;1
Bryant Reeves;77;31.09.00;13.03;05.02;1
Tyus Edney;80;31;10.08;03.08;0
Antonio McDyess;76;30;13.04;05.06;1
Kevin Garnett;80;28.07.00;10.04;04.05;1
Rasheed Wallace;65;27.05.00;10.01;04.02;1
Brent Barry;79;24;10.01;03.06;1
Eric Williams;64;23;10.07;03.08;1
Kurt Thomas;74;22.04;9;03.07;1
Ashraf Amaya;54;20.04;06.03;02.02;0
Alan Henderson;79;17.09;06.04;02.04;1
Gary Trent;69;17.07;07.05;03.02;1
Loren Meyer;72;17.06;5;2;0
Theo Ratliff;75;17.04;04.05;01.07;1
Anthony Goldwire;42;14.08;05.05;01.08;1
Bob Sura;79;14.06;05.03;01.09;1
Don Reid;69;14.04;03.08;01.05;1
Jimmy King;62;14;04.05;01.08;0
Shawn Respert;62;13.06;04.09;01.08;0
Shabazz Napier;51;19.08;05.01;01.07;0
Cherokee Parks;64;13.06;03.09;01.06;1
Lawrence Moten;44;13;06.06;02.05;0
Greg Ostertag;57;11.06;03.06;01.05;1
Corliss Williamson;53;11.05;05.06;02.04;1
Terrence Rencher;36;11.03;02.09;00.09;0
Chris Carr;60;09.08;4;01.05;1
Travis Best;59;09.07;03.07;01.02;1
Jason Caffey;57;09.06;03.02;01.02;1
Elijah Millsap;47;19.07;05.03;01.07;0
Eric Snow;43;9;02.07;1;1
Jerome Allen;41;08.08;02.06;00.09;0
Junior Burrough;61;08.01;03.01;1;0
Lou Roe;49;07.06;01.08;00.07;0
Marques Bragg;53;7;02.05;1;0
Todd Mundt;33;04.06;01.01;00.05;0
Grant Hill;70;38.03.00;19.09;07.03;1
Glenn Robinson;80;37;21.09;8;0
Glenn Robinson;80;37;21.09;8;1
Juwan Howard;65;36.01.00;17;7;1
Tarik Black;63;19;6;02.05;0
Jason Kidd;79;33.08.00;11.07;04.02;1
Lamond Murray;81;31.06.00;14.01;05.04;1
Eddie Jones;64;31;14;05.03;1
Eric Montross;78;29.07.00;10;03.09;1
Donyell Marshall;72;29;12.06;04.08;1
Brian Grant;80;28.06.00;13.02;05.02;1
Sharone Wright;79;25.09.00;11.04;04.06;0
Wesley Person;78;23.01;10.04;4;1
Clifford Rozier;66;22.06;06.08;02.09;0
Jalen Rose;81;22.02;08.02;02.08;1
Tyler Johnson;32;18.08;05.09;02.02;0
Khalid Reeves;67;21.08;09.02;03.01;1
Chris Childs;53;19.03;05.08;2;1
Aaron McKie;45;18.04;06.05;02.06;1
Ryan Lorthridge;37;18.02;07.04;02.09;0
Derrick Alston;64;16.01;04.07;01.09;0
Anthony Tucker;62;15.08;03.09;01.05;0
Greg Minor;63;15;6;02.05;1
Eric Piatkowski;81;14.09;7;02.05;1
B.J. Tyler;55;14.07;03.05;01.03;0
Eric Mobley;46;12.08;03.09;01.07;0
Monty Williams;41;12.03;03.03;01.05;1
Anthony Miller;46;11.05;04.01;01.05;1
Howard Eisley;49;11.03;02.04;00.08;1
Bill Curley;53;11.02;02.07;01.01;1
Jamie Watson;60;11.02;03.03;01.03;0
Tony Dumas;58;10.06;04.06;01.07;0
Dickey Simpkins;59;09.09;03.05;01.03;1
Jim McIlvaine;55;09.07;01.07;00.06;1
Dwayne Morton;41;09.06;04.01;01.02;0
Darrin Hancock;46;09.02;03.03;01.05;0
Tim Breaux;42;08.01;3;01.01;0
Trevor Ruffin;49;06.05;04.08;01.07;0
Brooks Thompson;38;06.05;03.01;01.02;0
Anfernee Hardaway;82;36.08.00;16;06.02;1
Jamal Mashburn;79;36.07.00;19.02;07.01;1
Nick Van Exel;81;33.03.00;13.06;05.01;1
Chris Webber;76;32.01.00;17.05;07.05;1
Aaron Gordon;47;17;05.02;2;0
Vin Baker;82;31.02.00;13.05;05.03;1
Isaiah Rider;79;30.06.00;16.06;06.06;1
Lindsey Hunter;82;26.05.00;10.03;04.01;1
Chris Mills;79;25.06.00;09.04;03.06;1
George Lynch;71;24.08.00;09.06;04.01;1
P.J. Brown;79;24.07.00;05.07;02.01;1
Calbert Cheaney;65;24.07.00;12;5;1
Bo Outlaw;37;23.05;06.09;02.06;1
Popeye Jones;81;21.09;05.08;02.04;1
Antonio Davis;81;21.04;07.07;02.07;1
Allan Houston;79;19.02;08.05;03.04;1
Harold Ellis;49;18.08;08.07;03.02;0
Rodney Rogers;79;17.08;08.01;3;1
Mitchell Butler;75;17.06;06.09;02.08;1
Sam Cassell;66;17;06.07;02.05;1
Bryon Russell;67;16.07;5;2;1
Darren Morningstar;23;16;04.02;01.07;0
Markel Brown;47;16.06;04.06;01.06;0
Acie Earl;74;15.05;05.05;2;0
Lucious Harris;77;15.01;05.04;02.01;1
Scott Burrell;51;15;04.08;01.09;1
Warren Kidd;68;13;03.06;01.05;0
Greg Graham;70;12.07;04.08;01.07;1
Mike Peplowski;55;12.01;03.02;01.04;0
Terry Dehere;64;11.09;05.03;2;1
James Robinson;58;11.06;04.08;01.08;1
Corie Blount;67;10.03;3;01.01;1
Cleanthony Early;39;16.06;05.04;01.09;0
David Wesley;60;9;03.01;01.01;1
Chris Whitney;40;08.05;01.08;00.06;1
Rex Walters;48;8;03.04;01.03;1
Darnell Mee;38;07.05;01.09;00.07;0
Josh Grant;53;07.02;3;01.01;0
Ervin Johnson;45;06.02;02.06;1;1
Brian Davis;68;05.05;01.09;00.06;0
Eric Riley;47;04.07;01.09;00.07;1
Shaquille O'Neal*;81;37.09.00;23.04;9;1
Latrell Sprewell;77;35.06.00;15.04;05.08;1
Christian Laettner;81;34.09.00;18.02;06.02;1
Tom Gugliotta;81;34.05.00;14.07;6;1
Alonzo Mourning*;78;33.09.00;21;07.03;1
LaPhonso Ellis;82;33.05.00;14.07;05.09;1
Clarence Weatherspoon;82;32.04.00;15.06;6;1
Robert Horry;79;29.05.00;10.01;04.01;1
Sean Rooks;72;29;13.05;05.01;1
Walt Williams;59;28.04.00;17;06.01;1
Anthony Avent;82;27.09.00;09.08;04.02;1
Richard Dumas;48;27.05.00;15.08;06.03;0
Todd Day;71;27.02.00;13.08;5;1
Bryant Stith;39;22.02;08.09;03.02;1
Doug Overton;45;22;08.01;03.04;1
Anthony Peeler;77;21.05;10.04;03.09;1
Walter Bond;74;21.03;8;03.01;0
Andre Spencer;20;21.01;09.04;03.07;0
Lloyd Daniels;77;20.04;09.01;03.07;1
Oliver Miller;56;19.01;05.06;02.02;1
Harold Miner;73;18.09;10.03;4;0
T.J. Warren;40;15.04;06.01;02.08;0
Adam Keefe;82;18.09;06.06;02.03;1
Lee Mayberry;82;18.03;05.02;02.01;1
Hubert Davis;50;16.03;05.04;02.02;1
Byron Houston;79;16.01;05.03;01.08;0
Chris Smith;80;15.08;04.03;01.06;0
Chris Smith;80;15.08;04.03;01.06;0
Brent Price;68;12.06;03.09;01.05;1
Marlon Maxey;43;12.01;05.04;02.02;0
Litterial Green;52;12;04.05;01.07;1
Jon Barry;47;11.07;04.04;01.06;1
